ORDER,FAMILY,GENUS,SPECIES,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Acari,Ixodidae,Haemaphysalis,leporispalustris,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,45,,,,map,x,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Haemaphysalis,leporispalustris,(Packard),1869,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,brunneus,Koch,1844,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,55,,,,map,,,x,x,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,brunneus,Koch,1844,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,54,,,,,x,,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,brunneus,Koch,1844,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Cooley & Kohls,0,,,Lanius ludovicianus as host,
Acari,Ixodidae,Ixodes,murreleti,Cooley & Kohls,1945,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,,,,,,x,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,pacificus,Cooley & Kohls,1943,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,,,,,,,x,,x,,,,0,,,,
Acari,Ixodidae,Ixodes,pacificus,Cooley & Kohls,1943,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,pacificus,Cooley & Kohls,1943,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,,
Acari,Ixodidae,Ixodes,pacificus,Cooley & Kohls,1943,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,SBM,,,,,,,,,,,x,,,,0,,1,removed from fox,
