record,source,order,family,acceptedFamily,genus,acceptedGenus,subgenus,specificEp,,scientificName,acceptedName,synSource,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,1,1,1,1,1,1
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1901,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1901,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1903,Psyche,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1937,Pan-Pac. Ent.,1937,7,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1937,Pan-Pac. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,1939,5,,1,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,1901,8,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1985,Ent. Calif. Ch. Isls. Proc.,,,,1,1,1,1,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1988,Univ. Kansas Sci. Bull.,,,,,1,1,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,,1,,1
lit,lit,Hymenoptera,Anthophoridae,Apidae,Centris,Centris,(Xerocentris),pallida,,Centris pallida,Centris pallida,,1966,LACM Cont. Sci.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Centris,Centris,(Xerocentris),pallida,,Centris pallida,Centris pallida,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1973,Univ. Calif. Publ. Ent.,,,1,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1985,Ent. Calif. Ch. Isls. Proc.,1919,8,1,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1892,Zoe,1892,8,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1973,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,bituberculata,,Diadasia bituberculata,Diadasia bituberculata,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1899,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1939,Pan-Pac. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1969,"Ph. D. thesis, Univ. Calif. D.",,,,,1,1,,,,
