source,order,family,genus,specificEp,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Coleoptera,Curculionidae,Trigonoscuta,stantoni,1975,Los Angeles,,,,,,,x,,,
lit,Coleoptera,Curculionidae,Tychius,lineellus,1971,"BYU Sci. Bull., Bio. Ser.",,,,,,,x,,,x
lit,Coleoptera,Curculionidae,Tychius,sp.,1897,Can. Ent.,,,,,,,,,x,
lit,Coleoptera,Dermestidae,Anthrenus,verbasci,1940,Proc. Sixth Pac. Sci. Cong.,1938,5,,,x,,,,,
lit,Coleoptera,Dermestidae,Cryptorhopalum,apicale,1979,"Cont. Sci., Nat. Hist. Mus. LA",,,,,,,?,,,
lit,Coleoptera,Dermestidae,Cryptorhopalum,apicale,1985,Trans. Amer. Ent. Soc.,,,,,,,?,,,
lit,Coleoptera,Dermestidae,Dermestes,caninus,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,x,,,x,x
lit,Coleoptera,Dermestidae,Dermestes,frischii,1934,Can. Ent.,1933,4,,,,,x,,,
lit,Coleoptera,Dermestidae,Dermestes,frischii,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,x,x,x,,
lit,Coleoptera,Dermestidae,Dermestes,mannerheimi,1897,Can. Ent.,,,,x,,x,,,x,x
lit,Coleoptera,Dermestidae,Dermestes,marmoratus,1897,Can. Ent.,,,,,x,x,,,x,x
lit,Coleoptera,Dermestidae,Dermestes,talpinus,1876,App. JJ Ann. Rept. Eng.,,,,,,,x,,,
lit,Coleoptera,Dermestidae,Dermestes,talpinus,1897,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Dermestidae,Dermestes,talpinus,1934,Can. Ent.,1933,4,,,,,x,,,
lit,Coleoptera,Dermestidae,Dermestes,tristis,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Dermestidae,Dermestes,tristis,1977,Pan-Pac. Ent.,,,,,,,,,,x
lit,Coleoptera,Dermestidae,Dermestes,vulpinus,1897,Can. Ent.,1875,,,,,,,,,
lit,Coleoptera,Dermestidae,Dermestes,vulpinus,1897,Can. Ent.,,,,,,,,,,
lit,Coleoptera,Dermestidae,Trogoderma,sternale,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Dermestidae,Trogoderma,sternale,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Dermestidae,Trogoderma,sternale,1954,Univ. Calif. Publ. Ent.,,,,,x,,,,,
lit,Coleoptera,Dermestidae,Trogoderma,sternale,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,x,,,,,
lit,Coleoptera,Dryopidae,Postelichus,productus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Dytiscidae,Agabinus,glabrellus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Dytiscidae,Agabinus,glabrellus,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Agabus,lugens,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Dytiscidae,Agabus,lugens,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Deronectes,striatellus,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Dytiscidae,Deronectes,striatellus,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Dytiscus,marginicollis,1987,Coleop. Bull.,,,,,x,,,,,
lit,Coleoptera,Dytiscidae,Hydroporus,vilis,1897,Can. Ent.,,,,,x,,,,,x
lit,Coleoptera,Dytiscidae,Hydroporus,vilis,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Hydroporus,williami,1923,Priv. Publ.,,,,,x,,,,,
lit,Coleoptera,Dytiscidae,Hydroporus,williami,1986,SW  Naturalist,,,,,x,,,,,
lit,Coleoptera,Dytiscidae,Hydroporus,williami,1987,Coleop. Bull.,1983,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Hygrotus,lutescens,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Laccophilus,fasciatus terminalis,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Laccophilus,maculosus decipiens,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Dytiscidae,Rhantus,gutticollis,1975,Trans. Amer. Ent. Soc.,1939,5,,,,x,,,,
lit,Coleoptera,Dytiscidae,Rhantus,gutticollis,1987,Coleop. Bull.,1984,5,,,x,,,,,
lit,Coleoptera,Elateridae,Anchastus,cinereipennis,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,,,,x,
lit,Coleoptera,Elateridae,Cardiophorus,luridipes,1897,Can. Ent.,1875,,,,,,,,,
lit,Coleoptera,Elateridae,Cardiophorus,luridipes,1897,Can. Ent.,,,,,,,,,,
lit,Coleoptera,Elateridae,Hemicrepidius,tumescens,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Elateridae,Hemicrepidius,tumescens,1897,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Elateridae,Hemicrepidius,tumescens,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,,x,,,
lit,Coleoptera,Elateridae,Hemicrepidius,tumescens,1932,Proc. Calif. Acad. Sci. ser.4,,,,,,,x,,,
lit,Coleoptera,Elateridae,Hemicrepidius,tumescens,1861,Proc. Acad. Nat. Sci. Phil.,,,,,,,x,,,
lit,Coleoptera,Elateridae,Hemicrepidus,tumescens,1897,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Elateridae,Melanotus,longulus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Elateridae,Melanotus,longulus,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Elateridae,Melanotus,longulus,1967,Proc. U.S. Nat. Mus.,,,,,x,,,,,
lit,Coleoptera,Endomychidae,Aphorista,morosa,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Erotylidae,Dacne,californica,1940,Proc. Sixth Pac. Sci. Cong.,1938,3,,,x,,,,,
lit,Coleoptera,Erotylidae,Dacne,californica,1956,Bull. Amer. Mus. Nat. Hist.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Aphelosternus,interstitialis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Carcinops,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,,,,,
lit,Coleoptera,Histeridae,Euspilotus,sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Histeridae,Hololepta,vicina,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Hololepta,vicina,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Histeridae,Hypocaccus,lucidulus,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,x,
lit,Coleoptera,Histeridae,Neopachylopus,sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Histeridae,Neopachylopus,sulcifrons,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,x,
lit,Coleoptera,Histeridae,Neopachylopus,sulcifrons,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Coleoptera,Histeridae,Saprinus,lugens,1897,Can. Ent.,,,,x,,x,,,x,x
lit,Coleoptera,Histeridae,Saprinus,lugens,1897,Can. Ent.,1875,,,,,,,,,
lit,Coleoptera,Histeridae,Saprinus,lugens,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Histeridae,Saprinus,lugens,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,x,x,,x,x
