source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,1,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1940,Proc. Sixth Pac. Sci. Cong.,1901,8,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1985,Ent. Calif. Ch. Isls. Proc.,,,,1,1,1,1,,1,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),urbana,1988,Univ. Kansas Sci. Bull.,,,,,1,1,,,1,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophorida),californica,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophorida),californica,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophorida),californica,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophorida),californica,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,,1,,1
lit,Hymenoptera,Anthophoridae,Centris (Xerocentris),pallida,1966,LACM Cont. Sci.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Centris (Xerocentris),pallida,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,acantha,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,
lit,Hymenoptera,Anthophoridae,Ceratina,acantha,1973,Univ. Calif. Publ. Ent.,,,1,,,,1,,,
lit,Hymenoptera,Anthophoridae,Ceratina,acantha,1985,Ent. Calif. Ch. Isls. Proc.,1919,8,1,,,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,acantha,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,Hymenoptera,Anthophoridae,Ceratina,nanula,1892,Zoe,1892,8,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,nanula,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,nanula,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,nanula,1973,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Ceratina,nanula,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Diadasia,bituberculata,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,1,,,
lit,Hymenoptera,Anthophoridae,Diadasia,enavata,1899,Can. Ent.,,,,,1,,,,,
