 ,Country,State,County,Island,Locality Detail,FROM Date Collected,TO Date Collected,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Count,Part,Stage,Elevation,Lat,Lon,,,,,
LACM ENT 381837,USA,CA,Los Angeles,Santa Catalina,,1.viii.1981,,A. Smith,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381838,USA,CA,Los Angeles,Santa Catalina,,2.viii.1982,,N. Chadwick,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381839,USA,CA,Los Angeles,Santa Catalina,,9.viii.1964,,A. Ishida & T. Ishida,Coleoptera,,,,,,,26Q-04632,26Q-04632,,On tent pole,,,,,,,,,,,,,
LACM ENT 381840,USA,CA,Ventura,Anacapa,,29.vii.1939,,G. P. Kanakoff,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381841,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381842,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381843,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381844,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381845,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381846,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381847,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381848,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381849,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381850,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381851,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381852,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381853,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381854,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381855,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381856,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381857,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381858,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381859,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381860,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381861,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
