Catalog Number,kingdom,phylum,class,source,order,bee,family,genus,subgenus,specificEp,subspecies,scientificName,scientific name authorship,Collector,Associated Collector(s),month,day,year,Date Collected,Country,State,County,island ,locality ,Country,State/Province,County/Municipality,Verbatim Elevation,Elevation in Meters,Sampling Protocol,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Donated By,Identified By,Date Identified,Identification Remarks,Field Number,Associated Taxa,Habitat,Additional Label Data,Type Status,# of Male ?,# of Female ?,Individual Count,Sex,Life Stage,Basis of Record,Preparation,Disposition,Language,Institution Code,Collection Code,Owner Institution Code
BMEP0325541,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,,megastictum,,Lasioglossum megastictum ,"(Cockerell, 1937)","Nagano, C.D.","Hogue, J.N.",8,8,1980,8/8/80,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0328451,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0328452,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0328453,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0328454,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0328956,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328957,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328958,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0325668,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Agapostemon,Agapostemon,texanus,,Agapostemon texanus ,"Cresson, 1872","Menke, A.S.","Miller, D.R., Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,1,1,Female,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325681,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Agapostemon,Agapostemon,texanus,,Agapostemon texanus ,"Cresson, 1872","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,1,,1,Male,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325484,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Halictus,Seladonia,tripartitus,,Halictus tripartitus ,"Cockerell, 1895","Menke, A.S.","Miller, D.R., Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325485,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Halictus,Seladonia,tripartitus,,Halictus tripartitus ,"Cockerell, 1895","Menke, A.S.","Miller, D.R., Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325486,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Halictus,Seladonia,tripartitus,,Halictus tripartitus ,"Cockerell, 1895","Menke, A.S.","Miller, D.R., Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325487,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Halictus,Seladonia,tripartitus,,Halictus tripartitus ,"Cockerell, 1895","Menke, A.S.","Miller, D.R., Rust, R.W.",6,30,1978,6/30/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325591,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,Dialictus,californiae,,Lasioglossum californiae ,"(Ellis, 1924)","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,10-200ft,3 m,,,33.3860°,-118.4066°,,"Rust, R.W.",,,,,,,none,1,,1,Male,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325592,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,Dialictus,californiae,,Lasioglossum californiae ,"(Ellis, 1924)","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,10-200ft,3 m,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325540,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Lasioglossum,,megastictum,,Lasioglossum megastictum ,"(Cockerell, 1937)","Menke, A.S.","Miller, D.R., Rust, R.W.",6,28,1978,6/28/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Black Jack Camp",United States,California,Los Angeles,,,,,33.3860°,-118.4066°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0325690,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Agapostemon,Agapostemon,texanus,,Agapostemon texanus ,"Cresson, 1872","Bennett, S.",,5,25,1981,5/25/81,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Bouchey Canyon",United States,California,Los Angeles,,,,,,,,,,,,,,,none,,1,1,Female,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325764,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Diadasia,,rinconis,,Diadasia rinconis ,"Cockerell, 1897","Menke, A.S.","Miller, D.R., Rust, R.W.",6,29,1978,6/29/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Bulrush Canyon",United States,California,Los Angeles,100-600ft,30 m,,,33.343°,-118.434°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
