Institution Accession Number ,Country,State,County,Island,Locality Detail,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,scientificName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
LACM ENT 424529,USA,CA,Los Angeles,Santa Catalina,Toyon Bay,S. Bennett,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,25.viii.1981,8,25,1981,,25,viii,26P-04616,Channel Islands Survey,F,,,,,
LACM ENT 424530,USA,CA,Los Angeles,Santa Catalina,Avalon,S. Bennett,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,19.ix.1985,9,19,1985,,19,ix,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424531,USA,CA,Santa Barbara,Santa Cruz,Pelican Bay,J.C. von Bloeker,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,22.iii.1941,3,22,1941,29.iii.1941,22,iii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424532,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,23.viii.1940,8,23,1940,,23,viii,26P-04616,Channel Islands Survey,,On grass,,,,
LACM ENT 424533,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,20.viii.1940,8,20,1940,,20,viii,26P-04616,Channel Islands Survey,,On grass,,,,
LACM ENT 424534,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,22.viii.1940,8,22,1940,,22,viii,26P-04616,Channel Islands Survey,,On grass,,,,
LACM ENT 424535,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,22.viii.1940,8,22,1940,,22,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424536,USA,CA,Santa Barbara,Santa Rosa,Beechers Bay,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,1.iv.1941,4,1,1941,3.iv.1941,1,iv,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424537,USA,CA,Santa Barbara,Santa Rosa,Beechers Bay,J.C. von Bloeker,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,1.iv.1941,4,1,1941,3.iv.1941,1,iv,26P-04616,Channel Islands Survey,M,,,,,
LACM ENT 424538,USA,CA,Ventura,Anacapa,,C. Henne,Orthoptera,Acrididae,,Melanoplus,,cinereus,cyanipes,Melanoplus cinereus cyanipes,16.viii.1940,8,16,1940,,16,viii,26P-04616,Channel Islands Survey,M,,,,,
