"","Institution Accession Number","Country","State","County","Island","Locality Detail","Collector(s)","Order","Family","Subfamily","Genus","Subgenus","Species","Subspecies","scientificName","original_date","month","day_arabic","year","TO Date Collected","day_messy","month_messy","Drawer","Survey","Sex","Collecting Remarks","Type","Curation Remarks","Stage","Elevation","acceptedFamily","acceptedGenus","acceptedName"
"11","LACM ENT 424506","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LACM ENT 424507","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LACM ENT 424508","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LACM ENT 424509","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LACM ENT 424510","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","LACM ENT 424511","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","LACM ENT 424512","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","LACM ENT 424513","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LACM ENT 424514","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","LACM ENT 424515","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","LACM ENT 424516","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","LACM ENT 424517","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LACM ENT 424518","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","LACM ENT 424519","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","LACM ENT 424520","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","LACM ENT 424521","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","LACM ENT 424522","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","LACM ENT 424523","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","LACM ENT 424524","USA","CA","Los Angeles","Santa Catalina","Toyon Canyon","S. Bennett","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","4.x.1983",10,4,1983,NA,"4","x","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","LACM ENT 424525","USA","CA","Los Angeles","Santa Catalina","Toyon Bay","S. Bennett","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","22.v.1982",5,22,1982,NA,"22","v","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","LACM ENT 424526","USA","CA","Los Angeles","Santa Catalina","Catalina Island Marine Institute, Toyon Bay","S. Bennett","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","9.x.1983",10,9,1983,NA,"9","x","26P-04616","Channel Islands Survey",NA,"Blacklight",NA,NA,NA,NA,NA,NA,NA
"32","LACM ENT 424527","USA","CA","Los Angeles","Santa Catalina","Toyon Canyon","S. Bennett","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","13.xi.1981",11,13,1981,NA,"13","xi","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"33","LACM ENT 424528","USA","CA","Ventura","San Nicolas","Sea Lion Beach","S Miller, K Cheesman","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","29.xii.1979",12,29,1979,NA,"29","xii","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"34","LACM ENT 424529","USA","CA","Los Angeles","Santa Catalina","Toyon Bay","S. Bennett","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","25.viii.1981",8,25,1981,NA,"25","viii","26P-04616","Channel Islands Survey","F",NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"35","LACM ENT 424530","USA","CA","Los Angeles","Santa Catalina","Avalon","S. Bennett","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","19.ix.1985",9,19,1985,NA,"19","ix","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"36","LACM ENT 424531","USA","CA","Santa Barbara","Santa Cruz","Pelican Bay","J.C. von Bloeker","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","22.iii.1941",3,22,1941,"29.iii.1941","22","iii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"37","LACM ENT 424532","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","23.viii.1940",8,23,1940,NA,"23","viii","26P-04616","Channel Islands Survey",NA,"On grass",NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"38","LACM ENT 424533","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","20.viii.1940",8,20,1940,NA,"20","viii","26P-04616","Channel Islands Survey",NA,"On grass",NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"39","LACM ENT 424534","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","22.viii.1940",8,22,1940,NA,"22","viii","26P-04616","Channel Islands Survey",NA,"On grass",NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"40","LACM ENT 424535","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Schistocerca",NA,"nitens","nitens","Schistocerca nitens nitens","22.viii.1940",8,22,1940,NA,"22","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,"Acrididae","Schistocerca","Schistocerca nitens nitens"
"41","LACM ENT 424536","USA","CA","Santa Barbara","Santa Rosa","Beechers Bay","J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","1.iv.1941",4,1,1941,"3.iv.1941","1","iv","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"42","LACM ENT 424537","USA","CA","Santa Barbara","Santa Rosa","Beechers Bay","J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","1.iv.1941",4,1,1941,"3.iv.1941","1","iv","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"43","LACM ENT 424538","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"44","LACM ENT 424539","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"45","LACM ENT 424540","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"46","LACM ENT 424541","USA","CA","Ventura","Anacapa",NA,"C. Henne","Orthoptera","Acrididae",NA,"Melanoplus",NA,"cinereus","cyanipes","Melanoplus cinereus cyanipes","16.viii.1940",8,16,1940,NA,"16","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"47","LACM ENT 424542","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","LACM ENT 424543","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LACM ENT 424544","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","LACM ENT 424545","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","LACM ENT 424546","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","LACM ENT 424547","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","31.vii.1939",7,31,1939,NA,"31","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","LACM ENT 424548","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","LACM ENT 424549","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","25.vii.1939",7,25,1939,NA,"25","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","LACM ENT 424550","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LACM ENT 424551","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","30.vii.1939",7,30,1939,NA,"30","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","LACM ENT 424552","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","29.vii.1939",7,29,1939,NA,"29","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","LACM ENT 424553","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","LACM ENT 424554","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","LACM ENT 424555","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","LACM ENT 424556","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","LACM ENT 424557","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","LACM ENT 424558","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","LACM ENT 424559","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","LACM ENT 424560","USA","CA","Santa Barbara","San Miguel",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","1.viii.1939",8,1,1939,NA,"1","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","LACM ENT 424561","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","LACM ENT 424562","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LACM ENT 424563","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","LACM ENT 424564","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","8.vii.1939",7,8,1939,NA,"8","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","LACM ENT 424565","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","LACM ENT 424566","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","5.vii.1939",7,5,1939,NA,"5","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","LACM ENT 424567","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","LACM ENT 424568","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","6.vii.1939",7,6,1939,NA,"6","vii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LACM ENT 424569","USA","CA","Santa Barbara","Santa Rosa",NA,NA,"Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","7.vii.1939",7,7,1939,NA,"7","vii","26P-04616","Channel Islands Survey",NA,NA,NA,"No head",NA,NA,NA,NA,NA
"75","LACM ENT 424570","USA","CA","Santa Barbara","San Miguel",NA,"J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","3.viii.1939",8,3,1939,NA,"3","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"76","LACM ENT 424571","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"77","LACM ENT 424572","USA","CA","Santa Barbara","San Miguel",NA,"J.P. Donahue","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","17.viii.1970",8,17,1970,NA,"17","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"78","LACM ENT 424573","USA","CA","Los Angeles","Santa Catalina","Isthmus","F.R. Fosberg","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","vii.1931",6,7,1931,NA,"vii",NA,"26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"79","LACM ENT 424574","USA","CA","Los Angeles","Santa Catalina","USC Marine Science Center","CD Nagano, JN Hogue","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","10.viii.1980",8,10,1980,NA,"10","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"80","LACM ENT 424575","USA","CA","Los Angeles","Santa Catalina","Catalina Island Marine Institute, Toyon Bay","S. Bennett","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","9.x.1983",10,9,1983,NA,"9","x","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"81","LACM ENT 424576","USA","CA","Los Angeles","Santa Catalina","Whites Landing","J.P. Donahue","Orthoptera","Acrididae",NA,"Melanoplus",NA,"devastator",NA,"Melanoplus devastator","22.viii.1970",8,22,1970,NA,"22","viii","26P-04616","Channel Islands Survey","M",NA,NA,NA,NA,NA,NA,NA,NA
"82","LACM ENT 424577","USA","CA","Santa Barbara","Santa Rosa",NA,"J.C. von Bloeker","Orthoptera","Acrididae",NA,"Melanoplus",NA,NA,NA,"Melanoplus","2.iv.1941",4,2,1941,NA,"2","iv","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
