"","acceptedFamily","acceptedGenus","acceptedName"
"338","Lycosidae","Pardosa","Pardosa sternalis"
"339","Oecobiidae","Oecobius","Oecobius annulipes"
"340","Oonopidae","Escaphiella","Escaphiella hespera"
"341","Oxyopidae","Oxyopes","Oxyopes salticus"
"342","Philodromidae","Ebo","Ebo pepinensis"
"343","Philodromidae","Philodromus","Philodromus chamisis"
"344","Philodromidae","Philodromus",
"345","Philodromidae","Tibellus","Tibellus chamberlini"
"346","Pholcidae","Psilochorus","Psilochorus bantus"
"347","Plectreuridae","Kibramoa","Kibramoa isolata"
"348","Plectreuridae","Plectreurys","Plectreurys castanea"
"349","Salticidae","Dendryphantes",
"350","Salticidae","Habronattus","Habronattus hirsutus"
"351","Salticidae","Metaphidippus","Metaphidippus utanus"
"352","Salticidae","Neon","Neon avalonus"
"353","Salticidae","Salticus","Salticus scenicus"
"354","Segestriidae","Citharoceps","Citharoceps fidicina"
"355","Segestriidae","Citharoceps","Citharoceps cruzana"
"356","Theridiidae","Crustulina","Crustulina sticta"
"357","Theridiidae","Steatoda","Steatoda albomaculata"
"358","Theridiidae","Steatoda","Steatoda washona"
"359","Theridiidae","Tidarren","Tidarren haemorrhoidale"
"360","Thomisidae","Mecaphesa","Mecaphesa importunus belkini"
"361","Thomisidae","Xysticus","Xysticus californicus"
"362","Thomisidae","Xysticus","Xysticus montanensis"
"363","Zodariidae","Lutica","Lutica clementea"
"364","Zodariidae","Lutica","Lutica maculata"
"365","Leiobuninae","Leiobunum","Leiobunum exilipes"
"366","Protolophidae","Protolophus","Protolophus tuberculatus"
"367","Nemastomatidae","Ortholasma","Ortholasma coronadense"
"368","Hubbardiidae","Schizomus","Schizomus belkini"
"369","Hubbardiidae","Hubbardia","Hubbardia belkini"
"370","Hubbardiidae","Hubbardia","Hubbardia pentapeltis"
"371","Buthidae","Isometrus","Isometrus maculatus"
"372","Vaejovidae","Pseudouroctonus","Pseudouroctonus minimus minimus"
"373","Vaejovidae","Pseudouroctonus","Pseudouroctonus minimus thompsoni"
"374","Vaejovidae","Uroctonus","Uroctonus mordax"
"375","Eremobatidae","Eremobates","Eremobates scopulatus"
"376","Ghaphosidae",,
"377","Micryphantidae",,
"378","Theriidae",,
"379","Zodariidae",,
"380","Garypidae",,
"381","Ixodidae",,
"382","Vaejovidae",,
"383","Clubionidae",,
"384","Corrinidae",,
"385","Cyrtaucheniidae",,
"386","Dictynidae",,
"387","Filistatidae",,
"388","Leptonetidae",,
"389","Miturgidae",,
"390","Oecobiidae",,
"391","Plectreuridae",,
"392","Segestriidae",,
"393","Uloboridae",,
"394","Chemitidae",,
"395","Olpiidae",,
"396","Ctenizidae",,
"397","Protolophidae",,
