record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente,,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,NO,SO,COR,GUA,MONTH,year,NOSPEC,ECOLOGY,NOTES,,
Literature,Lepidoptera,Cossidae,Cossidae,Givira,Givira,marga,marga,Givira marga,Barnes & McDunnough,1910,,Barnes & McDunnough,1910,Ent. News,21,463,-466,,,,x,,,,,,,,,,,0,,2,,,,
Literature,Lepidoptera,Cossidae,Cossidae,Givira,Givira,marga,marga,Givira marga,Barnes & McDunnough,1910,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,79,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Cossidae,Cossidae,Givira,Givira,marga,marga,Givira marga,Barnes & McDunnough,1910,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Dicymolomia,Dicylmolomia,metalliferalis,metalliferalis,Dicylmolomia metalliferalis,(Packard),1873,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,293,,Heinrich,,,,,,,,x,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Euchromius,Euchromius,ocellus,ocellea,Euchromius ocellea,(Haworth),1811,,Schouten,1992,Tijds. Ent.,135,210,,,,,,,,,,,,,,,,,,,,unstated isls.-map,,
Literature,Lepidoptera,Crambidae,Crambidae,Evergestis,Evergestis,angustalis catalinae,angustalis catalinae,Evergestis angustalis catalinae,Munroe,1973,,Munroe,1973,Moths Amer. N. Mexico,13.1C,0,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Evergestis,Evergestis,angustalis catalinae,angustalis catalinae,Evergestis angustalis catalinae,Munroe,1974,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Hellula,Hellula,rogatalis,rogatalis,Hellula rogatalis,(Hulst),1886,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,77,,,,,,,,,,,,,,,,0,,,,islands?,,
Literature,Lepidoptera,Crambidae,Crambidae,Microcrambus,Microcrambus,copelandi,copelandi,Microcrambus copelandi,Klots,1968,,Klots,1968,J. New York Ent. Soc.,76,11,,,,,x,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Microcrambus,Microcrambus,copelandi,copelandi,Microcrambus copelandi,Klots,1968,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,79,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Nomophila,Nomophila,nearctica,nearctica,Nomophila nearctica,Munroe,1973,MISID as noctuella,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,293,,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Udea,Udea,berberalis,berberalis,Udea berberalis,(Barnes & McDunnough,1918,,Munroe,1966,Mem. Ent. Soc. Can.,49,1,-57,,x,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Crambidae,Crambidae,Uresiphita,Uresiphita,reversalis,reversalis,Uresiphita reversalis,(Guenee),1854,,Powell,1992,Pan-Pac. Ent.,68,114,,,,,x,,,,,,,,,,,,,,intro. by 1978,,,
Literature,Lepidoptera,Crambidae,Crambidae,Uresiphita,Uresiphita,reversalis,reversalis,Uresiphita reversalis,(Guenee),1854,,Mastro,1993,Third Calif. Is. Symp.,,105,-114,,,,x,,,,,,,,,,,,,,,,,
Literature,Lepidoptera,Dioptidae,Notodontidae,Phryganidia,Phryganidia,californica,californica,Phryganidia californica,Packard,1864,,J.S. Miller,1987,Proc. Ent. Soc. Wash.,89,303,-321,,x,,x,,,x,,,x,,,,,0,,,,,,
Literature,Lepidoptera,Eriocraniidae,Eriocraniidae,Dyseriocrania,Dyseriocrania,auricyanea,auricyanea,Dyseriocrania auricyanea,(Walsingham),1882,as cyanosparsella,Opler,1974,Univ. Calif. Publ. Ent.,75,64,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Eriocraniidae,Eriocraniidae,Dyseriocrania,Dyseriocrania,auricyanea,auricyanea,Dyseriocrania auricyanea,(Walsingham),1882,as cyanosparsella SYN,D. Davis,1978,Smith. Cont. Zool.,251,1,-131,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Eriocraniidae,Eriocraniidae,Eriocraniella,Eriocraniella,aurosparsella,aurosparsella,Eriocraniella aurosparsella,(Walsingham),1880,,Opler,1974,Univ. Calif. Publ. Ent.,75,64,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Eriocraniidae,Eriocraniidae,Eriocraniella,Eriocraniella,aurosparsella,aurosparsella,Eriocraniella aurosparsella,(Walsingham),1880,,D. Davis,1978,Smith. Cont. Zool.,251,1,-131,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Anacampsis,Anacampsis,lacteusochrella,lacteusochrella,Anacampsis lacteusochrella,(Chambers),1875,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,,,x,,,,,,,,0,,,Eremocarpos as host,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Coleotechnites,Coleotechnites,sp.,,,Hodges,,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,,x,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Coleotechnites,Coleotechnites,sp.,,,,,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,79,-81,,,,,x,,x,,,,,,,,0,,,larvae feed on Lyonothamnus,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Dichomeris,Dichomeris,delotella,delotella,Dichomeris delotella,Busck,1909,,Hodges,1986,Moths Amer. N. Mex.,7.1,0,-195,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Rifseria,Rifseria,fuscotaeniaella,fuscotaeniaella,Rifseria fuscotaeniaella,(Chambers),1878,,Hodges,1966,Proc. U.S. Nat. Mus.,119,1,-66,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Telphusa,Telphusa,sedulitella,sedulitella,Telphusa sedulitella,(Busck),1910,as Adrasteia,Opler,1974,Univ. Calif. Publ. Ent.,75,64,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Gelechiidae,Gelechiidae,Trichotaphe,Dichomeris,sp.,,,Hodges,,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,,,undescribed,, ,,,,Cockerell,1938,Univ. Colorado Stud.,26,16,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Geometridae,Geometridae,,,undescribed2,, ,,,,Cockerell,1938,Univ. Colorado Stud.,26,16,,,,,x,,,,,,,,,,,0,,,,,,
