Family,Taxa_name,Syn,Eliminate,assign_by_island,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Asteraceae,Lasthenia gracilis,,,,1,1,1,1,1,1,1,1
Asteraceae,Layia platyglossa,,,,1,1,1,,,,1,1
Asteraceae,Lepidospartum squamatum,,,,,,1,,,,,
Asteraceae,Leptosyne gigantea,,,,1,1,1,1,1,1,1,1
Asteraceae,Logfia arizonica,,,,,,1,,1,,1,1
Asteraceae,Logfia filaginoides,,,,1,1,1,1,1,1,1,1
Asteraceae,Logfia gallica,,,,,1,1,,,,1,1
Asteraceae,Madia exigua,,,,,,1,,,,,1
Asteraceae,Madia gracilis,,,,,,1,,,,,1
Asteraceae,Madia sativa,,,,,1,1,,,,1,1
Asteraceae,Malacothrix clevelandii,,,,,1,,,,,,1
Asteraceae,Malacothrix coulteri,,,,,1,1,,,,,
Asteraceae,Malacothrix foliosa,,elim,,,,,,,,,
Asteraceae,Malacothrix foliosa subsp. crispifolia,,,,,,,1,,,,
Asteraceae,Malacothrix foliosa subsp. foliosa,,,,,,,,,,1,
Asteraceae,Malacothrix foliosa subsp. philbrickii,,,,,,,,1,,,
Asteraceae,Malacothrix foliosa subsp. polycephala,,,,,,,,,1,,
Asteraceae,Malacothrix incana,,,,1,1,,,,1,1,
Asteraceae,Malacothrix indecora,,,,1,1,1,,,,,
Asteraceae,Malacothrix junakii,,,,,,,1,,,,
Asteraceae,Malacothrix saxatilis,,elim,,,,,,,,,
Asteraceae,Malacothrix saxatilis var. implicata,,,,1,1,1,1,1,1,,
Asteraceae,Malacothrix saxatilis var. tenuifolia,,,,,,,,,1,1,1
Asteraceae,Malacothrix similis,,,,1,,1,,,,,
Asteraceae,Malacothrix squalida,,,,,,1,1,,,,
Asteraceae,Matricaria discoidea,,,,,1,1,1,,,,1
Asteraceae,Matricaria occidentalis,,,,,,,,,,,1
Asteraceae,Micropus californicus var. californicus,,,,,1,1,,,,,1
Asteraceae,Microseris douglasii,,,,,,,,,1,1,1
Asteraceae,Microseris douglasii subsp. douglasii,,,,,,,,,1,1,
Asteraceae,Microseris douglasii subsp. platycarpha,,,,,,,,,,1,1
Asteraceae,Microseris douglasii subsp. tenella,,,,1,1,1,,,1,,
Asteraceae,Microseris elegans,,,,1,,1,,,1,1,
Asteraceae,Munzothamnus blairii,,,,,,,,,,1,
Asteraceae,Pentachaeta lyonii,,,,,,,,,,,1
Asteraceae,Perityle emoryi,,,,,1,1,1,1,,1,1
Asteraceae,Pluchea odorata var. odorata,,,,,1,1,,,,,1
Asteraceae,Pluchea sericea,,,,,,,,,,,1
Asteraceae,Pseudognaphalium beneolens,,,,,1,1,,,,1,1
Asteraceae,Pseudognaphalium biolettii,,,,1,1,1,1,1,1,1,1
Asteraceae,Pseudognaphalium californicum,,,,1,1,1,1,1,1,1,1
Asteraceae,Pseudognaphalium canescens,,,,,1,1,1,1,1,1,1
Asteraceae,Pseudognaphalium luteoalbum,,,,1,1,1,1,1,1,1,1
Asteraceae,Pseudognaphalium microcephalum,,,,,1,1,1,1,,1,1
Asteraceae,Pseudognaphalium ramosissimum,,,,,,1,,,,,
Asteraceae,Pseudognaphalium stramineum,,,,1,1,1,1,,1,1,1
Asteraceae,Psilocarphus brevissimus var. brevissimus,,,,,,,,,,1,
Asteraceae,Psilocarphus tenellus,,,,,1,1,,,,1,1
Asteraceae,Pulicaria paludosa,,,,,,,,,,,1
Asteraceae,Rafinesquia californica,,,,,1,1,1,1,,1,1
Asteraceae,Senecio aphanactis,,,,,1,1,,,,,1
Asteraceae,Senecio flaccidus var. douglasii,,,,,,1,,,,1,1
Asteraceae,Senecio glomeratus,,,,1,1,1,,,,,
