kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis nodosa,Torilis nodosa,,Keep,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Caucalis microcarpa,Yabea microcarpa,,Keep,,,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Yabea microcarpa,Yabea microcarpa,,Keep,,,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias curassavica,Asclepias curassavica,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias fascicularis,Asclepias fascicularis,,Keep,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias subulata,Asclepias subulata,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum maccartii,Cynanchum maccartii,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,,Funastrum cynanchoides  var. hartwegii,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Metastelma palmeri,Metastelma palmeri,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Metastelma pringlei,Metastelma pringlei,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca major,Vinca major,,Keep,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Zantedeschia aethiopica,Zantedeschia aethiopica,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix canariensis,Phoenix canariensis,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,,Washingtonia filifera,,Keep,1,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Washingtonia robusta,Washingtonia robusta,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus asparagoides,Asparagus asparagoides,,Keep,,,,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus officinalis subsp. officinalis,Asparagus officinalis subsp. officinalis,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus officinalis,Asparagus officinalis subsp. officinalis,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Asphodelus fistulosus,Asphodelus fistulosus,,Keep,,,,,,,1,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea lanulosa,Achillea millefolium,,Keep,1,1,1,1,1,1,1,1
