scientificName,acceptedName
Artemisia suksdorfii,Artemisia suksdorfii
Artemisia tridentata,Artemisia tridentata
Artemisia vulgaris,Artemisia vulgaris
Arthrocnemum subterminale,Arthrocnemum subterminale
Salicornia subterminalis,Arthrocnemum subterminale
Arundo donax,Arundo donax
Arundo donax var. versicolor,Arundo donax f. versicolor
Asclepias curassavica,Asclepias curassavica
Asclepias erosa,Asclepias erosa
Asclepias fascicularis,Asclepias fascicularis
Asparagopsis taxiformis,Asparagopsis taxiformis
Asparagus asparagoides,Asparagus asparagoides
Asparagus officinalis,Asparagus officinalis
Asparagus officinalis subsp. officinalis,Asparagus officinalis subsp. officinalis
Asphodelus fistulosus,Asphodelus fistulosus
Asterella californica,Asterella californica
Asterella palmeri,Asterella palmeri
Astragalus arthurii,Astragalus arthurii
Astragalus asymmetricus,Astragalus asymmetricus
Astragalus coccineus,Astragalus coccineus
Astragalus crotalariae,Astragalus crotalariae
Astragalus curtipes,Astragalus curtipes
Astragalus didymocarpus,Astragalus didymocarpus
Astragalus didymocarpus var. didymocarpus,Astragalus didymocarpus var. didymocarpus
Astragalus didymocarpus var. dispermus,Astragalus didymocarpus var. dispermus
Astragalus gambelianus,Astragalus gambelianus
Astragalus lentiginosus,Astragalus lentiginosus
Astragalus lentiginosus var. borreganus,Astragalus lentiginosus var. borreganus
Astragalus lentiginosus var. coachellae,Astragalus lentiginosus var. coachellae
Astragalus lentiginosus var. nigricalycis,Astragalus lentiginosus var. nigricalycis
Astragalus leucolobus,Astragalus leucolobus
Astragalus magdalenae var. peirsonii,Astragalus magdalenae var. peirsonii
Astragalus miguelensis,Astragalus miguelensis
Astragalus molybdenus,Astragalus molybdenus
Astragalus nevinii,Astragalus nevinii
Astragalus nutans,Astragalus nutans
Astragalus nuttallianus,Astragalus nuttallianus
Astragalus nuttallii,Astragalus nuttallii
Astragalus palmeri,Astragalus palmeri
Astragalus pomonensis,Astragalus pomonensis
Astragalus traskiae,Astragalus traskiae
Astragalus trichopodus,Astragalus trichopodus
Astragalus trichopodus leucopsis,Astragalus trichopodus var. lonchus
Astragalus trichopodus subsp. leucopsis,Astragalus trichopodus var. lonchus
Astragalus trichopodus var. lonchus,Astragalus trichopodus var. lonchus
Astragalus trichopodus var. phoxus,Astragalus trichopodus var. phoxus
Astragalus capillipes,Astragalus trichopodus var. trichopodus
Astragalus trichopodus var. trichopodus,Astragalus trichopodus var. trichopodus
Athysanus pusillus,Athysanus pusillus
Atriplex argentea,Atriplex argentea
Atriplex argentea subsp. expansa,Atriplex argentea var. expansa
Atriplex argentea var. expansa,Atriplex argentea var. expansa
Atriplex argentea var. mohavensis,Atriplex argentea var. expansa
Atriplex canescens,Atriplex canescens
Atriplex coulteri,Atriplex coulteri
Atriplex subspicata,Atriplex dioica
Atriplex breweri,Atriplex lentiformis
Atriplex lentiformis,Atriplex lentiformis
Atriplex lentiformis subsp. breweri,Atriplex lentiformis
Atriplex lentiformis subsp. lentiformis,Atriplex lentiformis
Atriplex leucophylla,Atriplex leucophylla
Atriplex pacifica,Atriplex pacifica
Atriplex parishii,Atriplex parishii
Atriplex polycarpa,Atriplex polycarpa
Atriplex patula subsp. hastata,Atriplex prostrata
Atriplex prostrata,Atriplex prostrata
Atriplex triangularis,Atriplex prostrata
Atriplex rosea,Atriplex rosea
Atriplex semibaccata,Atriplex semibaccata
Atriplex serenana,Atriplex serenana
Atriplex serenana var. davidsonii,Atriplex serenana var. davidsonii
Atriplex serenana var. serenana,Atriplex serenana var. serenana
Atriplex suberecta,Atriplex suberecta
