kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,,needs review,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,assign by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. traskiae,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius subsp. traskiae,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. veatchii,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. veatchii,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
,,,,,acmispon glaber,ELIM,acmispon glaber,,,0,,,,,,,,,
,,,,,lotus scoparius,ELIM,acmispon glaber,,,0,,,,,,,,,
,,,,,lotus scoparius subsp. scoparius,ELIM,acmispon glaber var. glaber,,,0,,,,,,,,,
,,,,,acmispon glaber var. glaber,ELIM,acmispon glaber var. glaber,,,0,,,,,,,,,
,,,,,lotus scoparius var. scoparius,ELIM,acmispon glaber var. glaber,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus,KEEP,acmispon grandiflorus var. grandiflorus,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus var. grandiflorus,KEEP,acmispon grandiflorus var. grandiflorus,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus grandiflorus,KEEP,acmispon grandiflorus var. grandiflorus,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus grandiflorus var. grandiflorus,KEEP,acmispon grandiflorus var. grandiflorus,,,3,,1,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon heermannii var. heermannii,KEEP,acmispon heermannii var. heermannii,,,1,,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus heermannii,KEEP,acmispon heermannii var. heermannii,,,1,,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus,KEEP,acmispon maritimus var. maritimus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus subsp. maritimus,KEEP,acmispon maritimus var. maritimus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus salsuginosus,KEEP,acmispon maritimus var. maritimus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus salsuginosus var. salsuginosus,KEEP,acmispon maritimus var. maritimus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus var. maritimus,KEEP,acmispon micranthus,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon micranthus,KEEP,acmispon micranthus,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus hamatus,KEEP,acmispon micranthus,,,4,,1,1,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon parviflorus,KEEP,acmispon parviflorus,,,1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus micranthus,KEEP,acmispon parviflorus,,,1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon strigosus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon subpinnatus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus strigosus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus strigosus var. hirtellus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus strigosus var. strigosus,KEEP,acmispon strigosus,,,7,1,1,1,1,,1,1,1,
