source,order,family,genus,specificEp,scientificName,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Hymenoptera,Sphecidae,Trypoxylon,tridentatum tridentatum,Trypoxylon tridentatum tridentatum,1979,Pan-Pac. Ent.,,,,,,,x,,,
lit,Hymenoptera,Sphecidae,Trypoxylon,tridentatum tridentatum,Trypoxylon tridentatum tridentatum,1982,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Hymenoptera,Sphecidae,Trypoxylon,tridentatum tridentatum,Trypoxylon tridentatum tridentatum,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Hymenoptera,Tiphiidae,Brachycistis,agama,Brachycistis agama,1966,Univ. Calif. Publ. Ent.,,,,,,,x,x,,
lit,Hymenoptera,Tiphiidae,Brachycistis,agama,Brachycistis agama,1968,Pan-Pac. Ent.,,,,,,,x,x,,x
lit,Hymenoptera,Tiphiidae,Paratiphia,nevadensis,Paratiphia nevadensis,1968,Trans. Amer. Ent. Soc.,,,,,,,x,,,
lit,Hymenoptera,Tiphiidae,Paratiphia,sp.,Paratiphia sp.,1892,Zoe,1892,8,,,x,,,,,
lit,Hymenoptera,Torymidae,Torymus,fullawayi,Torymus fullawayi,1976,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Hymenoptera,Torymidae,Torymus,koebelei,Torymus koebelei,1976,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Hymenoptera,Torymidae,Torymus,umbilicatus,Torymus umbilicatus,1976,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Hymenoptera,Vespidae,Ancistrocerus,catskill halophila,Ancistrocerus catskill halophila,1940,Proc. Sixth Pac. Sci. Cong.,,3,,,x,,x,x,,
lit,Hymenoptera,Vespidae,Ancistrocerus,lineativentris,Ancistrocerus lineativentris,1940,Proc. Sixth Pac. Sci. Cong.,,3,,,x,,,,,
lit,Hymenoptera,Vespidae,Ancistrocerus,lineativentris,Ancistrocerus lineativentris,1944,Ent. Amer.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Ancistrocerus,tigris cytainus,Ancistrocerus tigris cytainus,1940,Proc. Sixth Pac. Sci. Cong.,,3,,,x,,,,,
lit,Hymenoptera,Vespidae,Odynerus,sp.,Odynerus sp.,1940,Proc. Sixth Pac. Sci. Cong.,,3,,,x,,,,,
lit,Hymenoptera,Vespidae,Parancistrocerus,declivatus,Parancistrocerus declivatus,1948,Proc. Calif. Acad. Sci. ser. 4,,,,,,,,,,
lit,Hymenoptera,Vespidae,Polistes,fuscatus aurifer,Polistes fuscatus aurifer,1892,Zoe,1892,8,,,x,,,,,
lit,Hymenoptera,Vespidae,Polistes,fuscatus aurifer,Polistes fuscatus aurifer,1905,Invert. Pac.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Polistes,fuscatus aurifer,Polistes fuscatus aurifer,1940,Proc. Sixth Pac. Sci. Cong.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Polistes,fuscatus aurifer,Polistes fuscatus aurifer,1957,Bull. Calif. Insect Surv.,,,,,x,,x,,,
lit,Hymenoptera,Vespidae,Pseudomasaris,edwardsii,Pseudomasaris edwardsii,1963,Univ. Calif. Publ. Ent.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Pterocheilus,trichogaster,Pterocheilus trichogaster,1943,Ann. Ent. Soc. Amer.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Pterocheilus,trichogaster,Pterocheilus trichogaster,1972,Pan-Pac. Ent.,,,,,,,x,,,
lit,Hymenoptera,Vespidae,Stenodynerus,anatropus,Stenodynerus anatropus,1944,Pan-Pac. Ent.,,,,,,,x,,,
lit,Hymenoptera,Vespidae,Stenodynerus,blandus,Stenodynerus blandus,1940,Proc. Sixth Pac. Sci. Cong.,,3,,,x,,,,,
lit,Hymenoptera,Vespidae,Stenodynerus,blandus catalinae,Stenodynerus blandus catalinae,1943,Bull. Brook. Ent. Soc.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Stenodynerus,sp.,Stenodynerus sp.,1986,Psyche,1984,5,,,,,,,x,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1961,Can. Ent. Suppl.,,,,,x,,x,,,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1918,Pom. Coll. J. Ent. & Zool.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1940,Proc. Sixth Pac. Sci. Cong.,,,,,x,,,,,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1957,Bull. Calif. Insect Surv.,,,,,,,x,,,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1892,Zoe,1892,8,,,x,,,,,
lit,Hymenoptera,Vespidae,Vespula,pensylvanica,Vespula pensylvanica,1968,Calif. Vector Views,,,,,x,,,,,
lit,Isoptera,Rhinotermitidae,Reticulitermes,hesperus,Reticulitermes hesperus,1919,Pom. Coll. J. Ent. & Zool.,,,,,x,,,,,
lit,Isoptera,Rhinotermitidae,Reticulitermes,hesperus,Reticulitermes hesperus,1920,U.S. Nat. Mus. Bull.,,,,,x,,,,,
lit,Isoptera,Rhinotermitidae,Reticulitermes,sp.,Reticulitermes sp.,1919,Pom. Coll. J. Ent. & Zool.,,,,,x,,,,,
lit,Lepidoptera,Adelidae,Adela,flammeusella,Adela flammeusella,1969,J. Lepid. Soc.,,,,,,,x,,,
lit,Lepidoptera,Adelidae,Adela,flammeusella,Adela flammeusella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Adelidae,Adela,thorpella,Adela thorpella,1969,J. Lepid. Soc.,,,,,,,x,,,
lit,Lepidoptera,Adelidae,Adela,thorpella,Adela thorpella,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Adelidae,Adela,trigrapha,Adela trigrapha,1969,J. Lepid. Soc.,,,,,,,x,,,
lit,Lepidoptera,Adelidae,Adela,trigrapha,Adela trigrapha,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta insularis,Arachnis picta insularis,1940,Bull. S. Calif. Acad. Sci.,,,x,,,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta insularis,Arachnis picta insularis,1940,Bull. S. Calif. Acad. Sci.,,,x,,,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta insularis,Arachnis picta insularis,1941,Proc. U.S. Nat. Mus.,,,x,,,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta insularis,Arachnis picta insularis,1942,Bull. S. Calif. Acad. Sci.,,,x,,,,x,,,x
lit,Lepidoptera,Arctiidae,Arachnis,picta insularis,Arachnis picta insularis,1985,Ent. Calif. Ch. Isls. Proc.,,,x,,,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta meadowsi,Arachnis picta meadowsi,1938,Bull. S. Calif. Acad. Sci.,1938,6,,,x,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta meadowsi,Arachnis picta meadowsi,1941,Proc. U.S. Nat. Mus.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta meadowsi,Arachnis picta meadowsi,1942,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Arachnis,picta meadowsi,Arachnis picta meadowsi,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Cisthene,dorsimacula,Cisthene dorsimacula,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Cisthene,faustinula,Cisthene faustinula,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Cisthene,faustinula,Cisthene faustinula,1967,Trans. Amer. Ent. Soc.,,,,,x,,,,,x
lit,Lepidoptera,Arctiidae,Cisthene,liberomacula,Cisthene liberomacula,1967,Trans. Amer. Ent. Soc.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Cisthene,sp.,Cisthene sp.,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Crambidia,suffusa,Crambidia suffusa,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Ctenucha,brunnea,Ctenucha brunnea,1941,Bull. S. Calif. Acad. Sci.,,,,,,,,,,x
lit,Lepidoptera,Arctiidae,Estigmene,acrea,Estigmene acrea,1938,Bull. S. Calif. Acad. Sci.,1938,6,,,x,,,,,
lit,Lepidoptera,Arctiidae,Estigmene,sp.,Estigmene sp.,1971,Discovery,,,,,,,x,,,
lit,Lepidoptera,Arctiidae,Grammia,nevadensis,Grammia nevadensis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,x,x,,,
lit,Lepidoptera,Arctiidae,Grammia,nevadensis complex,Grammia nevadensis complex,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Grammia,spp.,Grammia spp.,1985,Ent.,,,,,,,,,,
lit,Lepidoptera,Arctiidae,Hemihyalea,edwardsii,Hemihyalea edwardsii,1938,Univ. Colorado Stud.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Hemihyalea,edwardsii,Hemihyalea edwardsii,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Hemihyalea,edwardsii,Hemihyalea edwardsii,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Hemihyalea,edwardsii,Hemihyalea edwardsii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Lophocampa,indistincta,Lophocampa indistincta,1910,Can. Ent.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Lophocampa,indistincta,Lophocampa indistincta,1912,Cont. Nat. Hist. Lep. N. Amer.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Lophocampa,indistincta,Lophocampa indistincta,1920,Brit. Mus. Nat. Hist. London,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Lophocampa,indistincta,Lophocampa indistincta,1927,Pan-Pac. Ent.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Lophocampa,indistincta,Lophocampa indistincta,1985,Ent. Calif. Ch. Isls. Proc.,,,x,,x,,x,,,?
lit,Lepidoptera,Arctiidae,Notarctia,proxima,Notarctia proxima,1938,Bull. S. Calif. Acad. Sci.,,,,,x,,,,,
lit,Lepidoptera,Arctiidae,Notarctia,proxima,Notarctia proxima,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,x,,x,
lit,Lepidoptera,Arctiidae,Spilosoma,sp.,Spilosoma sp.,1889,Proc. U. S. Nat. Mus.,,,,,,x,,,,
lit,Lepidoptera,Blastobasidae,Holcocera,phenacocci,Holcocera phenacocci,1927,Ent. News,,,,,x,,,,,
lit,Lepidoptera,Blastobasidae,Holcocera,phenacocci,Holcocera phenacocci,1938,Univ. Colorado Stud.,,,,,x,,,,,
lit,Lepidoptera,Blastobasidae,Holcocera,phenacocci,Holcocera phenacocci,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Copromorphidae,Lotisma,trigonana trigonana,Lotisma trigonana trigonana,1986,Pan-Pac. Ent.,,,,,,,x,,,
lit,Lepidoptera,Cosmopterigidae,Stilbosis,dulcedo,Stilbosis dulcedo,1974,Univ. Calif. Publ. Ent.,,,,,,,x,,,
lit,Lepidoptera,Cossidae,Givira,marga,Givira marga,1910,Cont. Nat. Hist. Lep. N. Amer.,,,,,x,,,,,
lit,Lepidoptera,Cossidae,Givira,marga,Givira marga,1910,Ent. News,,,,,x,,,,,
lit,Lepidoptera,Cossidae,Givira,marga,Givira marga,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Cossidae,Givira,marga,Givira marga,1985,Ent. Calif. Ch. Isls. Proc.,,,,,x,,,,,
lit,Lepidoptera,Crambidae,Dicymolomia,metalliferalis,Dicymolomia metalliferalis,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,x,
