source,id,observed_o,month,year,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,acceptedFamily,acceptedGenus,scientific,acceptedName,common_nam,iconic_tax,taxon_id
iNaturalist,3914250,Wed Aug 10 2016 12:18:22 GMT-0700 (PDT),8,2016,8/10/16,2016-08-10 19:18:22 UTC,Pacific Time (US & Canada),280544,joe_cutler,2016-08-18 23:12:28 UTC,2020-10-16 17:59:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3914250,https://inaturalist-open-data.s3.amazonaws.com/photos/4603386/medium.jpg?1471561978, , , ,7,0,FALSE,3,Santa Catalina,"2?Çô98 Big Fishermans Cv, Avalon, CA, US",33.44506167,-118.4818717,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,4886059,2013/07/24 7:29 AM MST,7,2013,7/24/13,2013-07-24 13:29:00 UTC,Mountain Time (US & Canada),269952,joshuagsmith,2017-01-03 02:46:14 UTC,2020-10-23 20:30:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4886059,https://inaturalist-open-data.s3.amazonaws.com/photos/5941335/medium.jpeg?1483411525, , ,Introduced to Catalina Island,7,0,FALSE,0,Santa Catalina,"Shark Harbor (General Area), California 90704, USA",33.3830283,-118.4753087,526,526, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,4915143,2017/01/07 11:04 AM PST,1,2017,1/7/17,2017-01-07 19:04:00 UTC,Pacific Time (US & Canada),115757,scdevaney,2017-01-08 23:01:10 UTC,2020-10-16 20:03:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4915143,https://inaturalist-open-data.s3.amazonaws.com/photos/5984164/medium.jpeg?1483916445, , ,Seen grazing near Middle Ranch area during Avalon Benefit 50K run,7,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.33274167,-118.355875,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5056154,Fri Aug 21 2015 07:56:33 GMT-0700 (PDT),8,2015,8/21/15,2015-08-21 14:56:33 UTC,Pacific Time (US & Canada),280979,emshaph,2017-02-05 07:08:32 UTC,2020-10-16 18:01:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5056154,https://inaturalist-open-data.s3.amazonaws.com/photos/6199689/medium.jpg?1486278923, , , ,5,0,FALSE,3,Santa Catalina,"W End Rd, Avalon, CA, US",33.46840807,-118.533982,22,22, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5091542,2017-02-11 2:37:54 PM PST,2,2017,2/11/17,2017-02-11 22:37:54 UTC,Pacific Time (US & Canada),392423,bjdion,2017-02-11 22:38:38 UTC,2020-10-16 18:01:00 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/5091542,https://inaturalist-open-data.s3.amazonaws.com/photos/6255239/medium.jpeg?1486852728, , , ,5,0,FALSE,2,Santa Catalina,"22 Middle Ranch Road Avalon, CA 90704",33.35622649,-118.4361399,344,344, ,open,FALSE,gps,gps,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5140590,Sun Feb 19 2017 13:34:13 GMT-0800 (PST),2,2017,2/19/17,2017-02-19 21:34:13 UTC,Pacific Time (US & Canada),280979,emshaph,2017-02-20 05:55:39 UTC,2020-10-16 18:01:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5140590,https://inaturalist-open-data.s3.amazonaws.com/photos/6329327/medium.jpg?1487570155, , , ,7,0,FALSE,3,Santa Catalina,"Santa Catalina Island, Avalon, CA, US",33.43649868,-118.50345,44,44, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5253316,7/4/14,7,2014,7/4/14, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-08 23:56:53 UTC,2020-10-15 16:31:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5253316,https://inaturalist-open-data.s3.amazonaws.com/photos/6500138/medium.jpg?1489016764, , , ,5,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.36676402,-118.4059913,4510,4510, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5253317,7/4/14,7,2014,7/4/14, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-08 23:56:53 UTC,2020-10-15 16:31:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5253317,https://inaturalist-open-data.s3.amazonaws.com/photos/6500140/medium.jpg?1489016765, , , ,5,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.36676402,-118.4059913,4510,4510, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5253318,7/4/14,7,2014,7/4/14, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-08 23:56:53 UTC,2020-10-15 16:31:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5253318,https://inaturalist-open-data.s3.amazonaws.com/photos/6500143/medium.jpg?1489016766, , , ,5,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.36676402,-118.4059913,4510,4510, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,5253319,7/4/14,7,2014,7/4/14, ,Pacific Time (US & Canada),275891,psyllidhipster,2017-03-08 23:56:53 UTC,2020-10-16 18:00:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5253319,https://inaturalist-open-data.s3.amazonaws.com/photos/6500147/medium.jpg?1489016772, , , ,5,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.35282808,-118.4386253,521,521, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
