scientificName,acceptedName
Hornungia procumbens,Hornungia procumbens
Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum
Grindelia,
Phacelia cicutaria var. hispida,Phacelia cicutaria var. hispida
Sanicula arguta,Sanicula arguta
Urtica dioica subsp. holosericea,Urtica dioica subsp. holosericea
Oligomeris linifolia,Oligomeris linifolia
Ambrosia chamissonis,Ambrosia chamissonis
Vulpia bromoides,Festuca bromoides
Bromus madritensis,Bromus madritensis
Centaurea melitensis,Centaurea melitensis
Toxicoscordion fremontii,Toxicoscordion fremontii
Malacothrix foliosa subsp. crispifolia,Malacothrix foliosa subsp. crispifolia
Piptatherum miliaceum,Piptatherum miliaceum
Encelia californica,Encelia californica
Lamarckia aurea,Lamarckia aurea
Zostera marina,Zostera marina
Antirrhinum nuttallianum subsp. subsessile,Antirrhinum nuttallianum subsp. subsessile
Comarostaphylis diversifolia subsp. planifolia,Comarostaphylis diversifolia subsp. planifolia
Lycium californicum,Lycium californicum
Silybum marianum,Silybum marianum
Malacothrix junakii,Malacothrix junakii
Atriplex suberecta,Atriplex suberecta
Baccharis pilularis,Baccharis pilularis
Delphinium parryi,Delphinium parryi
Amsinckia menziesii,Amsinckia menziesii
Phacelia,
Festuca microstachys,Festuca microstachys
Silene laciniata subsp. major,Silene laciniata subsp. laciniata
Distichlis spicata,Distichlis spicata
Erodium cicutarium,Erodium cicutarium
Apiastrum angustifolium,Apiastrum angustifolium
Eriogonum arborescens,Eriogonum arborescens
Spergularia macrotheca,Spergularia macrotheca
Brickellia californica,Brickellia californica
Platystemon californicus,Platystemon californicus
Phyllospadix scouleri,Phyllospadix scouleri
Ribes malvaceum var. malvaceum,Ribes malvaceum var. malvaceum
Hordeum murinum subsp. glaucum,Hordeum murinum subsp. glaucum
Erysimum,
Sisymbrium irio,Sisymbrium irio
Plantago ovata,Plantago ovata
Grindelia latifolia,Grindelia hirsutula
Prunus ilicifolia subsp. lyonii,Prunus ilicifolia subsp. lyonii
Gnaphalium bicolor,Pseudognaphalium biolettii
Hazardia squarrosa var. grindelioides,Hazardia squarrosa var. grindelioides
Keckiella cordifolia,Keckiella cordifolia
Lotus dendroideus var. dendroideus,Acmispon dendroideus var. dendroideus
Lavatera,
Quercus tomentella,Quercus tomentella
Ceanothus megacarpus var. megacarpus,Ceanothus megacarpus var. megacarpus
Clarkia epilobioides,Clarkia epilobioides
Achillea millefolium var. borealis,Achillea millefolium
Trifolium microcephalum,Trifolium microcephalum
Dodecatheon clevelandii subsp. insulare,Primula clevelandii var. insularis
Erodium moschatum,Erodium moschatum
Eucalyptus globulus,Eucalyptus globulus
Erigeron foliosus var. foliosus,Erigeron foliosus var. foliosus
Cotula coronopifolia,Cotula coronopifolia
Lotus salsuginosus,Acmispon maritimus
Achillea millefolium var. arenicola,Achillea millefolium
Tetragonia tetragonioides,Tetragonia tetragonioides
Lepidium virginicum var. robinsonii,Lepidium virginicum var. menziesii
Antirrhinum nuttallianum subsp. nuttallianum,Antirrhinum nuttallianum subsp. nuttallianum
Polypogon monspeliensis,Polypogon monspeliensis
Cuscuta salina,Cuscuta salina
Trifolium depauperatum var. amplectens,Trifolium depauperatum var. amplectens
Castilleja hololeuca,Castilleja hololeuca
Descurainia pinnata,Descurainia pinnata
Amsinckia menziesii var. intermedia,Amsinckia intermedia
Suaeda californica,Suaeda californica
Plagiobothrys collinus var. gracilis,Plagiobothrys collinus var. gracilis
Malva arborea,Malva arborea
Atriplex lentiformis subsp. breweri,Atriplex lentiformis
Petroselinum crispum,Petroselinum crispum
Chenopodium berlandieri var. sinuatum,Chenopodium berlandieri var. sinuatum
Pseudognaphalium microcephalum,Pseudognaphalium microcephalum
Hutchinsia procumbens,Hornungia procumbens
Atriplex coulteri,Atriplex coulteri
Acmispon strigosus,Acmispon strigosus
Phyllospadix,
Platystemon californicus var. nutans,Platystemon californicus 
Epilobium canum,Epilobium canum
Claytonia perfoliata subsp. perfoliata,Claytonia perfoliata subsp. perfoliata
Plagiobothrys collinus,Plagiobothrys collinus
Marah macrocarpus,Marah macrocarpa
Ehrharta calycina,Ehrharta calycina
Trifolium gracilentum var. palmeri,Trifolium palmeri
Sisymbrium orientale,Sisymbrium orientale
Claytonia perfoliata,Claytonia perfoliata
Cerastium glomeratum,Cerastium glomeratum
Heliotropium curassavicum,Heliotropium curassavicum
Salsola tragus,Salsola tragus
Berberis pinnata subsp. insularis,Berberis pinnata subsp. insularis
Castilleja affinis subsp. affinis,Castilleja affinis subsp. affinis
Phacelia viscida,Phacelia viscida
Microseris lindleyi,Uropappus lindleyi
Delphinium parryi subsp. parryi,Delphinium parryi subsp. parryi
Hordeum,
Amsinckia spectabilis,Amsinckia spectabilis
Calandrinia maritima,Cistanthe maritima
Bromus,
Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum
Acmispon dendroideus var. veatchii,Acmispon dendroideus var. veatchii
Hemizonia fasciculata,Deinandra fasciculata
Astragalus didymocarpus,Astragalus didymocarpus
Acmispon wrangelianus,Acmispon wrangelianus
Zigadenus fremontii,Toxicoscordion fremontii
Quercus chrysolepis,Quercus chrysolepis
Lycopersicon esculentum,Lycopersicon esculentum
Galium angustifolium,Galium angustifolium
Amaranthus powellii,Amaranthus powellii
Phalaris paradoxa,Phalaris paradoxa
Microseris,
Mirabilis laevis,Mirabilis laevis
Trifolium palmeri,Trifolium palmeri
Spergularia marina,Spergularia marina
Opuntia oricola,Opuntia oricola
Linaria canadensis var. texana,Nuttallanthus texanus
Carpobrotus edulis,Carpobrotus edulis
Erigeron canadensis,Erigeron canadensis
Plagiobothrys canescens,Plagiobothrys canescens
Grindelia latifolia subsp. platyphylla,Grindelia hirsutula
Abronia maritima,Abronia maritima
Toxicodendron diversilobum,Toxicodendron diversilobum
Yabea microcarpa,Yabea microcarpa
Brodiaea pulchella,Dipterostemon capitatus
Parietaria hespera,Parietaria hespera
Eschscholzia ramosa,Eschscholzia ramosa
Festuca,
Hordeum brachyantherum,Hordeum brachyantherum
Cynodon dactylon,Cynodon dactylon
Gamochaeta ustulata,Gamochaeta ustulata
Baccharis plummerae subsp. plummerae,Baccharis plummerae subsp. plummerae
Thysanocarpus curvipes,Thysanocarpus curvipes
Parapholis incurva,Parapholis incurva
Leymus triticoides,Leymus triticoides
Limonium perezii,Limonium perezii
Polycarpon tetraphyllum,Polycarpon tetraphyllum
Rumex,
Euphorbia,
Trifolium repens,Trifolium repens
Isocoma veneta,Isocoma veneta
Grindelia hirsutula,Grindelia hirsutula
Lathyrus vestitus subsp. laetiflorus,Lathyrus vestitus var. vestitus
Nuttallanthus texanus,Nuttallanthus texanus
Rumex crispus,Rumex crispus
Aphyllon fasciculatum,Aphyllon fasciculatum
Lotus strigosus var. strigosus,Acmispon strigosus
Dudleya cespitosa,Dudleya cespitosa
Crassula connata var. erectoides,Crassula connata
Camissoniopsis micrantha,Camissoniopsis micrantha
Lathyrus,
Amaranthus albus,Amaranthus albus
Oxalis pes-caprae,Oxalis pes-caprae
Vicia,
Euphorbia spathulata,Euphorbia spathulata
Parietaria hespera var. hespera,Parietaria hespera var. hespera
Erigeron foliosus var. stenophyllus,Erigeron foliosus var. foliosus
Chenopodium,
Lavatera assurgentiflora,Malva assurgentiflora
Hazardia cana,Hazardia cana
Phyllospadix torreyi,Phyllospadix torreyi
Acmispon,
Salicornia virginica,Salicornia pacifica
Elymus,
Lilium humboldtii,Lilium humboldtii
Dudleya,
Poa,
Spergularia,
Hordeum murinum subsp. murinum,Hordeum murinum subsp. murinum
Camissonia micrantha,Camissoniopsis micrantha
Spergularia salina,Spergularia marina
Gnaphalium stramineum,Pseudognaphalium stramineum
Bromus berteroanus,Bromus berteroanus
Dentaria californica,Cardamine californica
Plantago coronopus,Plantago coronopus
Briza maxima,Briza maxima
Trifolium depauperatum var. truncatum,Trifolium depauperatum var. truncatum
Lotus scoparius,Acmispon glaber
Atriplex watsonii,Atriplex watsonii
Layia platyglossa,Layia platyglossa
Salix lasiolepis,Salix lasiolepis
Delairea odorata,Delairea odorata
Amsinckia spectabilis var. spectabilis,Amsinckia spectabilis var. spectabilis
Vulpia octoflora,Festuca octoflora
Gnaphalium chilense,Pseudognaphalium stramineum
Astragalus coccineus,Astragalus coccineus
Leymus,
Astragalus didymocarpus var. didymocarpus,Astragalus didymocarpus var. didymocarpus
Guillenia lasiophylla,Caulanthus lasiophyllus
Erysimum capitatum,Erysimum capitatum
Vulpia myuros,Festuca myuros
Polypogon viridis,Polypogon viridis 
Salicornia pacifica,Salicornia pacifica
Cylindropuntia prolifera,Cylindropuntia prolifera
Aptenia cordifolia,Aptenia cordifolia
Tamarix ramosissima,Tamarix ramosissima
Filago californica,Logfia filaginoides
Comarostaphylis diversifolia,Comarostaphylis diversifolia
Matricaria discoidea,Matricaria discoidea
Cryptantha hispidissima,Cryptantha clevelandii var. florosa
Bromus carinatus var. maritimus,Bromus carinatus var. maritimus
Microseris heterocarpa,Stebbinsoseris heterocarpa
Tamarix,
Astragalus trichopodus var. phoxus,Astragalus trichopodus var. phoxus
Asclepias fascicularis,Asclepias fascicularis
Cryptantha muricata,Cryptantha muricata
Gamochaeta pensylvanica,Gamochaeta pensylvanica
Lessingia filaginifolia,Corethrogyne filaginifolia
Lupinus albifrons var. albifrons,Lupinus albifrons var. albifrons
Phalaris,
Avena,
Erodium,
Bromus madritensis subsp. rubens,Bromus madritensis subsp. rubens
Eriogonum grande,Eriogonum grande
Stipa lepida,Stipa lepida
Lycopersicon,
Stipa diegoensis,Achnatherum diegoense
Silene laciniata,Silene laciniata
Calystegia macrostegia,Calystegia macrostegia
Stipa,
Stachys,
Elymus condensatus,Leymus condensatus
Dichelostemma capitatum,Dipterostemon capitatus
Castilleja wightii,Castilleja wightii
Diplacus aurantiacus,Diplacus aurantiacus
Papaver heterophyllum,Papaver heterophyllum
Comarostaphylis,
Primula clevelandii,Primula clevelandii
Atriplex breweri,Atriplex lentiformis
Stipa pulchra,Stipa pulchra
Muhlenbergia appressa,Muhlenbergia appressa
Astragalus nevinii,Astragalus nevinii
Lupinus guadalupensis,Lupinus guadalupensis
Cryptantha intermedia,Cryptantha intermedia
Eriogonum giganteum subsp. formosum,Eriogonum giganteum var. formosum
Galvezia speciosa,Gambelia speciosa
Eriophyllum nevinii,Constancea nevinii
Cirsium occidentale var. californicum,Cirsium occidentale var. californicum
Aristida adscensionis,Aristida adscensionis
Atriplex leucophylla,Atriplex leucophylla
Lupinus bicolor subsp. umbellatus,Lupinus bicolor
Lotus argophyllus subsp. ornithopus,Acmispon argophyllus var. argenteus
Cirsium occidentale,Cirsium occidentale
Lupinus agardhianus,Lupinus concinnus
Eriogonum giganteum,Eriogonum giganteum
Haplopappus canus,Hazardia cana
Bergerocactus emoryi,Bergerocactus emoryi
Lyonothamnus floribundus,Lyonothamnus floribundus
Castilleja grisea,Castilleja grisea
Malacothamnus clementinus,Malacothamnus clementinus
Dudleya virens,Dudleya virens
Allium praecox,Allium praecox
Achyrachaena mollis,Achyrachaena mollis
Leptosiphon bicolor,Leptosiphon bicolor
Galium catalinense,Galium catalinense
Jepsonia malvifolia,Jepsonia malvifolia
Munzothamnus blairii,Munzothamnus blairii
Senecio lyonii,Senecio lyonii
Crossosoma californicum,Crossosoma californicum
Euphorbia misera,Euphorbia misera
Camissoniopsis cheiranthifolia,Camissoniopsis cheiranthifolia
Brodiaea kinkiensis,Brodiaea kinkiensis
Malva assurgentiflora,Malva assurgentiflora
Lycium brevipes,Lycium brevipes
Scrophularia villosa,Scrophularia villosa
Sibara filifolia,Sibara filifolia
Delphinium variegatum,Delphinium variegatum
Ceanothus megacarpus,Ceanothus megacarpus
Salvia columbariae,Salvia columbariae
Emmenanthe penduliflora,Emmenanthe penduliflora
Platanthera cooperi,Piperia unalascensis
Artemisia nesiotica,Artemisia nesiotica
Foeniculum vulgare,Foeniculum vulgare
Lepidium virginicum,Lepidium virginicum
Lepidium latipes,Lepidium latipes
Raphanus raphanistrum,Raphanus raphanistrum
Lupinus concinnus,Lupinus concinnus
Lathyrus laetiflorus,Lathyrus vestitus var. vestitus
Lepidium lasiocarpum,Lepidium lasiocarpum
Hordeum vulgare,Hordeum vulgare
Brassica rapa,Brassica rapa
Sinapis incana,Hirschfeldia incana
Ficus carica,Ficus carica
Raphanus sativus,Raphanus sativus
Constancea nevinii,Constancea nevinii
Laurencia snyderiae,Laurencia snyderiae
Chondria decipiens,Chondria decipiens
Microcladia californica,Microcladia californica
Pikea californica,Pikea californica
Cryptopleura ramosa,Cryptopleura ramosa
Hypnea valentiae,Hypnea valentiae
Gelidium pusillum,Gelidium pusillum
Cladophora graminea,Cladophora graminea
Ceramium eatonianum,Ceramium eatonianum
Bonnemaisonia hamifera,Bonnemaisonia hamifera
Porphyra perforata,Porphyra perforata
Cladophora,
Herposiphonia,
Nemalion multifidum,Nemalion multifidum
Gymnogongrus leptophyllus,Gymnogongrus leptophyllus
Pterosiphonia dendroidea,Pterosiphonia dendroidea
Herposiphonia plumula,Herposiphonia plumula
Ulva lobata,Ulva lobata
Codium hubbsii,Codium hubbsii
Laurencia,
Laurencia subopposita,Laurencia subopposita
Grateloupia prolongata,Grateloupia prolongata
Grateloupia doryphora,Grateloupia doryphora
Cladophoropsis,
Heterosiphonia erecta,Heterosiphonia erecta
Jania tenella,Jania tenella
Pholistoma racemosum,Pholistoma racemosum
Gambelia speciosa,Gambelia speciosa
Viola pedunculata,Viola pedunculata
Pholistoma auritum,Pholistoma auritum
Cuscuta californica,Cuscuta californica
Sambucus cerulea,Sambucus nigra subsp. caerulea
Opuntia ficus-indica,Opuntia ficus-indica
