Melacoryphus rubicollis,Melacoryphus rubicollis,Lygaeidae,Melacoryphus,,
Melanopleurus,,Lygaeidae,Melanopleurus,,
Melanopleurus belfragei,Melanopleurus belfragei,Lygaeidae,Melanopleurus,,
Membracidae,,Membracidae,,,
Miridae,,Miridae,,,
Myzus persicae,,Aphididae,Myzus,,
Narnia,,Membracidae,Narnia,genus doubtful; no species,
Neacoryphus rubicollis,Melacoryphus rubicollis,Lygaeidae,Melacoryphus,,
Neaethus,,Tropiduchidae,Neaethus,,
Neocoelidia,,Cicadellidae,Neocoelidia,,
Neocoelidia pallida,Neocoelidia pallida,Cicadellidae,Neocoelidia,,
Neoneides muticus,Neoneides muticus,Berytidae,Neoneides,,
Neortholomus,,Lygaeidae,Neortholomus,,
Niesthrea,,Rhopalidae,Niesthrea,genus doubtful; no species,
Nothodelphax consimilis,Nothodelphax consimilis,Delphacidae,Nothodelphax,,
Notonecta,,Notonectidae,Notonecta,,
Notonectidae,,Notonectidae,,,
Okanagana,,Cicadidae,Okanagana,,
Oliarus zyxus,Melanoliarus zyxus,Cixiidae,Melanoliarus,,
Oncopeltus fasciatus,Oncopeltus fasciatus,Lygaeidae,Oncopeltus,,
Orgerius,,Dictyopharidae,Orgerius,,
Orius,,Anthocoridae,Orius,,
Orius tristicolor,Orius tristicolor,Anthocoridae,Orius,,
Orsillinae,,Lygaeidae,,,
Orthotylus,,Miridae,Orthotylus,,
Osbornellus scalaris,Osbornellus scalaris,Cicadellidae,Osbornellus,,
Oxycarenus hyalinipennis,Oxycarenus hyalinipennis,Oxycarenidae,Oxycarenus,,
Paralimnina,,Cicadellidae,,,
Paraproba hamata,Paraproba hamata,Miridae,Paraproba,,
Parasaissetia nigra,Parasaissetia nigra,Coccidae,Parasaissetia,,
Pentatomidae,,Pentatomidae,,,
Pentatominae,,Pentatomidae,,,
Pentatomoidea,,,,,
Pentatomomorpha,,,,,
Phylinae,,Miridae,,,
Phytocoris californicus,Phytocoris californicus,Miridae,Phytocoris,,
Phytocoris hettenshawi,Phytocoris hettenshawi,Miridae,Phytocoris,,
Phytocoris sewardi,Phytocoris sewardi,Miridae,Phytocoris,,
Pissonotus melanurus,Pissonotus melanurus,Delphacidae,Pissonotus,,
Plagiognathus moerens,Plagiognathus moerens,Miridae,Plagiognathus,,
Plagiognathus verticalis,Plagiognathus verticalis,Miridae,Plagiognathus,,
Platycotis vittata,Platycotis vittatus,Membracidae,Platycotis,,
Plinthisus,,Rhyparochromidae,Plinthisus,,
Ploiaria,,Reduviidae,Ploiaria,,
Ploiaria denticauda,Ploiaria denticauda,Reduviidae,Ploiaria,,
Polymerus,,Polymerus,Polymerus,,
Proba californica,Proba californica,Miridae,Proba,,
Pselliopus,,Reduviidae,Pselliopus,,
Pseudopamera,,Rhyparochromidae,Pseudopamera,,
Pseudopamera setosa,Pseudopamera setosa,Rhyparochromidae,Pseudopamera,,
Pulvinariella mesembryanthemi,Pulvinariella mesembryanthemi,Coccidae,Pulvinariella,,
Puto,,Pseudococcidae,Puto,,
Pyrrhocoridae,,Pyrrhocoridae,,,
Rasahus,,Reduviidae,Rasahus,,
Rasahus thoracicus,Rasahus thoracicus,Reduviidae,Rasahus,,
Reduviidae,,Reduviidae,,,
Reduviolus,,Nabidae,Reduviolus,,
Reuteroscopus,,Miridae,Reuteroscopus,,
Rhinacloa forticornis,Rhinacloa forticornis,Miridae,Rhinacloa,,
Rhopalidae,,Rhopalidae,,,
Rhynocoris,,Reduviidae,Rhynocoris,,
Rhynocoris ventralis,Rhynocoris ventralis,Reduviidae,Rhynocoris,,
Rhyparochromidae,,Rhyparochromidae,,,
Saissetia coffeae,Saissetia coffeae,Coccidae,Saissetia,,
Saldidae,,Saldidae,,,
Saldula pallipes,Saldula pallipes,Saldidae,Saldula,,
Scantius aegyptius,Scantius aegyptius,Pyrrhocoridae,Scantius,,
Scolopocerus granulosus,Scolopocerus granulosus,Coreidae,Scolopocerus,,
Sinea,,Reduviidae,Sinea,,
Siphanta acuta,Siphanta acuta,Flatidae,Siphanta,,
Siphoninus phillyreae,Siphoninus phillyreae,Aleyrodidae,Siphoninus,,
Sitobion fragariae,Sitobion fragariae,Aphididae,Sitobion,,
Tamalia,,Aphididae,Tamalia,,
Taylorilygus apicalis,Taylorilygus apicalis,Miridae,Taylorilygus,,
