source,record,ORDER,acceptedOrder,FAMILY,acceptedFamily,GENUS,acceptedGenus,SPECIES,scientificName,acceptedName,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Kleidocerys,Kleidocerys,ovalis,Kleidocerys ovalis,Kleidocerys ovalis,Barber,1953,,Barber,1953,Proc. Ent. Soc. Wash.,55,273,-283,,,lit,,,x,,,,,,,,,,H. O. Marsh,10,1908,,,not endemic
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Lygaeus,Lygaeus,kalmii kalmii,Lygaeus kalmii kalmii,Lygaeus kalmii,Stal,1874,MISID as reclivatus,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Lygaeus,Lygaeus,,Lygaeus ,,,,MISID?,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,from Verbena prostata,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Melanopleurus,Melanopleurus,fuscosus,Melanopleurus fuscosus,Melanopleurus fuscosus,Brailovsky,1977,,Brailovsky,1977,Anal. Inst. Biol. Univ. Nac.,48,129,-132,,,lit,,,,,,x,,,,,,,,0,,,,Zoology series
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Neartholomus,Neortholomus,scolopax,Neortholomus scolopax,Neortholomus scolopax,(Say),1832,as Orsilles,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,from Verbena prostata,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Nysius,Nysius,raphanus,Nysius raphanus,Nysius raphanus,Howard,1872,,Straughan,1982,"Tech. Rep., Allan Hancock, USC",6,378,,,,,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Nysius,Nysius,,Nysius ,,,,MISID as angustatus,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,from Verbena prostata,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Ozophora,Ozophora,occidentalis,Ozophora occidentalis,Ozophora occidentalis,Slater,1988,,Slater,1988,J. New York Ent. Soc.,96,91,-109,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Atractotomus,Atractotomus,agrifoliae,Atractotomus agrifoliae,Atractotomus agrifoliae,"Stonedahl, G. M.",1990,,"Stonedahl, G. M.",1990,Bull. Amer. Mus. Nat. Hist.,198,19,,,,,,,,,,x,,,,,,,,0,,,not TL,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Chaetophylidea,Chaetophylidea,moerens,Chaetophylidea moerens,Chaetophylidea moerens,(Reuter),1909,,Knight,1968,Brigham Young Univ. Sci. Bull.,9,1,-282,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Closterocoris,Closterocoris,amoenus,Closterocoris amoenus,Closterocoris amoenus,(Provancher),1872,as ornatus SYN,Uhler,1890,Trans. Maryland Acad. Sci.,1,77,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Closterocoris,Closterocoris,amoenus,Closterocoris amoenus,Closterocoris amoenus,(Provancher),1872,as ornata SYN,Van Duzee,1912,Can. Ent.,44,317,-329,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Irbisia,Irbisia,brachycera,Irbisia brachycera,Irbisia brachycera,(Uhler),1872,,Schwartz,1984,J. New York Ent. Soc.,92,193,-306,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Irbisia,Irbisia,californica,Irbisia californica,Irbisia californica,Van Duzee,1921,,Schwartz,1984,J. New York Ent. Soc.,92,193,-306,,,,x,,x,,,x,,x,x,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Irbisia,Irbisia,mollipes,Irbisia mollipes,Irbisia mollipes,Van Duzee,1917,,Van Duzee,1921,Proc. Calif. Acad. Sci. ser.4,11,145,-152,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Irbisia,Irbisia,mollipes,Irbisia mollipes,Irbisia mollipes,Van Duzee,1917,,Schwartz,1984,J. New York Ent. Soc.,92,193,-306,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Irbisia,Irbisia,,Irbisia ,,,,MISID as pacifica,Uhler,1872,"Hayden, F. V., Rept. U. S.",,416,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,as nigridea hirta,Van Duzee,1921,Proc. Calif. Acad. Sci. ser.4,11,111,-134,,,,,,,,,,,x,,,,,Van Duzee,5,1919,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,as hirta,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,Van Duzee,,,,,,,,,,x,,,,,,0,,,found on Atragalus miguelensis,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,as nigridea hirta,S. E. Miller & Davis,1986,Psyche,92,550,,,,,,,,,,,,x,,,,,,0,,,found on Malacothrix,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,,Asquith,1990,Great Basin Nat.,50,140,",149",,,,,,,,,,,x,,,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,,Asquith,1990,Great Basin Nat.,50,140,",149",,,,,,,,,,,x,,,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lopidea,Lopidea,nigridia aculeata,Lopidea nigridia aculeata,Lopidea nigridia,Van Duzee,1917,,Asquith,1991,Theses Zoologicae,16,1,-280,,,,,,,,,,,x,,,,,,,,,,L. n. hirta (TL MIG) as SYN
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lygus,Lygus,hesperus,Lygus hesperus,Lygus hesperus,Knight,1917,,Knight,1917,Cornell Univ. Agr. Exp. Sta.,391,555,-645,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Lygus,Lygus,hesperus,Lygus hesperus,Lygus hesperus,Knight,1917,,Kelton,1975,Mem. Ent. Soc. Can.,95,1,-101,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Phytocoris,Phytocoris,histriculus,Phytocoris histriculus,Phytocoris histriculus,Van Duzee,1920,,Stonedahl,1988,Bull. Amer. Mus. Nat. Hist.,188,1,-257,,CAS,,,,,x,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Phytocoris,Phytocoris,insulatus,Phytocoris insulatus,Phytocoris insulatus,Stonedahl,1988,,Stonedahl,1988,Bull. Amer. Mus. Nat. Hist.,188,1,-257,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Miridae,Miridae,Polymerus,Polymerus,uhleri,Polymerus uhleri,Polymerus uhleri,(Van Duzee),1914,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,H. H. Knight,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Notonectidae,Notonectidae,Buenoa,Buenoa,scimitra,Buenoa scimitra,Buenoa scimitra,Bare,1925,,Menke et al.,1979,Bull. Calif. Insect Survey,21,147,,,,map,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Notonectidae,Notonectidae,Notonecta,Notonecta,kirbyi,Notonecta kirbyi,Notonecta kirbyi,Hungerford,1925,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,287,,Hungerford,,,,,,x,,,,,,,,,,0,1939,,,
Literature,Literature,Hemiptera,Hemiptera,Notonectidae,Notonectidae,Notonecta,Notonecta,kirbyi,Notonecta kirbyi,Notonecta kirbyi,Hungerford,1925,,Menke et al.,1979,Bull. Calif. Insect Survey,21,143,,,,map,,,x,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Notonectidae,Notonectidae,Notonecta,Notonecta,unifasciata,Notonecta unifasciata,Notonecta unifasciata,Guerin-Meneville,1857,,"Lee, Ryckman et al.",1955,Bull. S. Calif. Acad. Sci.,54,20,-21,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Notonectidae,Notonectidae,Notonecta,Notonecta,unifasciata,Notonecta unifasciata,Notonecta unifasciata,Guerin-Meneville,1857,,Menke et al.,1979,Bull. Calif. Insect Survey,21,145,,,,map,,,x,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Chlorochroa,Chlorochroa,rossiana,Chlorochroa rossiana,Chlorochroa rossiana,Buxton & Thomas,1983,,"Buxton, Thomas, & Froesc.",1984,"Occ. Pap. Ent., CDFA",29,10,23,,,map,,,,,,,,?,,,,,,0,,,,large #s feeding on giant Core
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Scutellaridae,Eurygaster,Eurygaster,amerinda,Eurygaster amerinda,Eurygaster amerinda,Bliven,1956,,"Lattin, J. D.",1964,"Ph. D. diss., Univ. Calif., B.",,251,,,,,,,,,,,,,,x,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Scutellaridae,Eurygaster,Eurygaster,shoshone,Eurygaster shoshone,Eurygaster shoshone,Kirkaldy,1909,,Fall & Davis,1934,Can. Ent.,66,143,-144,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Murgantia,Murgantia,histrionica,Murgantia histrionica,Murgantia histrionica,(Hahn),1834,,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,from Isomeris arborea,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Murgantia,Murgantia,histrionica,Murgantia histrionica,Murgantia histrionica,(Hahn),1834,,Uhler,1894,Proc. Calif. Acad. Sci. ser.2,4,231,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Murgantia,Murgantia,histrionica,Murgantia histrionica,Murgantia histrionica,(Hahn),1834,as h. nigricans SYN,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,,,,,,x,,,,,,,,,,,0,,,infesting Isomerus arborea,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Nezara,Nezara,viridula,Nezara viridula,Nezara viridula,(Linnaeus),1758,,Uhler,1894,Proc. Calif. Acad. Sci. ser.2,4,231,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Prionosoma,Prionosoma,podopioides,Prionosoma podopioides,Prionosoma podopioides,Uhler,1863,,La Follette,1915,Pom. Coll. J. Ent. & Zool.,7,123,-129,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Prionosoma,Prionosoma,podopioides,Prionosoma podopioides,Prionosoma podopioides,Uhler,1863,,Norland,1931,Pom. Coll. J. Ent. & Zool.,23,45,-46,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Thyanta,Thyanta,custator accerra,Thyanta custator accerra,Thyanta custator accerra,McAtee,1919,,Rider & Chapin,1992,J. New York Ent. Soc.,100,56,,,,,,,,,,,,,,,,,,,,,,unstated Channel Islands
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Thyanta,Thyanta,pallidovirens,Thyanta pallidovirens,Thyanta pallidovirens,(Stal),1859,,Straughan,1982,"Tech. Rep., Allan Hancock, USC",6,379,,,,,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Thyanta,Thyanta,pallidovirens,Thyanta pallidovirens,Thyanta pallidovirens,(Stal),1859,,Rider & Chapin,1992,J. New York Ent. Soc.,100,63,,,,,,,,,,,,,,,,,,,,,,unstated Channel Islands
Literature,Literature,Hemiptera,Hemiptera,Pentatomidae,Pentatomidae,Thyanta,Thyanta,,Thyanta ,,,,,"Fellers, G. & Drost, C.",1991,Herp. Monographs,5,76,,,,,,x,,,,,,,,,,,,,,,lizard food,
